2017-07-27 18:10:41,301 [Worker-194] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /hellonetty/src/test/resources
2017-07-27 18:10:41,349 [Worker-194] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-07-27 18:10:41,490 [Worker-194] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for io.netty:netty:jar:4.0.49.Final is missing, no dependency information available
2017-07-27 18:10:41,503 [Worker-194] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-27 18:10:41,504 [Worker-194] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-27 18:10:41,506 [Worker-194] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-27 18:10:41,507 [Worker-194] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-27 18:11:40,289 [Worker-196] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.hello.netty:hellonetty:0.0.1-SNAPSHOT @ F:\study\netty\src\hellonetty\pom.xml.
2017-07-27 18:11:40,317 [Worker-196] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://10.100.19.86:8081/nexus/content/groups/public/io/netty/netty-all/5.0.0.Alpha2/netty-all-5.0.0.Alpha2.pom
2017-07-27 18:11:40,343 [Worker-196] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.100.19.86:8081/nexus/content/groups/public/io/netty/netty-all/5.0.0.Alpha2/netty-all-5.0.0.Alpha2.pom
2017-07-27 18:11:40,363 [Worker-196] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://10.100.19.86:8081/nexus/content/groups/public/io/netty/netty-parent/5.0.0.Alpha2/netty-parent-5.0.0.Alpha2.pom
2017-07-27 18:11:40,376 [Worker-196] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.100.19.86:8081/nexus/content/groups/public/io/netty/netty-parent/5.0.0.Alpha2/netty-parent-5.0.0.Alpha2.pom
2017-07-27 18:11:40,420 [Worker-196] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://10.100.19.86:8081/nexus/content/groups/public/io/netty/netty-all/5.0.0.Alpha2/netty-all-5.0.0.Alpha2.jar
2017-07-27 18:11:40,682 [Worker-196] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.100.19.86:8081/nexus/content/groups/public/io/netty/netty-all/5.0.0.Alpha2/netty-all-5.0.0.Alpha2.jar
2017-07-27 18:11:40,962 [Worker-196] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-27 18:11:40,964 [Worker-196] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-27 18:11:40,966 [Worker-196] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-27 18:11:40,966 [Worker-196] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-27 18:11:42,422 [Worker-195] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-27 18:11:42,424 [Worker-195] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-27 18:11:42,425 [Worker-195] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-27 18:11:42,426 [Worker-195] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-28 09:50:42,036 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-28 09:50:42,075 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-28 09:50:42,077 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-28 09:50:42,078 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-28 10:29:45,519 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-28 10:29:45,541 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-28 10:29:45,542 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-28 10:29:45,543 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-28 10:30:01,347 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-28 10:30:01,348 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-28 10:30:01,348 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
